,index,Goal,Target,Indicator_ref,Series_code,Series_desc,n_countries_available,median_max_year,median_n_years,median_n_timeSeries,n_dimensions,median_values_per_dim,mean_data_for_female,n_countries_total,regionCode,regionName
1,1,'7,'7.a,7.a.1,EG_IFF_RANDN,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2017 United States dollars)",14,2017.0,15.5,1.0,0.0,,,14,62,Central and Southern Asia
2,2,'7,'7.a,7.a.1,EG_IFF_RANDN,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2017 United States dollars)",48,2017.0,11.5,1.0,0.0,,,48,202,Sub-Saharan Africa
3,3,'7,'7.a,7.a.1,EG_IFF_RANDN,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2017 United States dollars)",32,2017.0,12.0,1.0,0.0,,,33,419,Latin America and the Caribbean
4,4,'7,'7.a,7.a.1,EG_IFF_RANDN,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2017 United States dollars)",0,,,,,,,45,513,Europe and Northern America
5,5,'7,'7.a,7.a.1,EG_IFF_RANDN,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2017 United States dollars)",12,2017.0,8.5,1.0,0.0,,,12,543,Oceania (excluding Australia and New Zealand)
6,6,'7,'7.a,7.a.1,EG_IFF_RANDN,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2017 United States dollars)",15,2017.0,14.0,1.0,0.0,,,24,747,Northern Africa and Western Asia
7,7,'7,'7.a,7.a.1,EG_IFF_RANDN,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2017 United States dollars)",12,2017.0,16.0,1.0,0.0,,,16,753,Eastern and South-Eastern Asia
0,0,'8,'8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),194,2018.0,19.0,1.0,0.0,,,194,1,World
0,0,'8,'8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),2,2018.0,19.0,1.0,0.0,,,2,53,Australia and New Zealand
1,1,'8,'8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),14,2018.0,19.0,1.0,0.0,,,14,62,Central and Southern Asia
2,2,'8,'8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),48,2018.0,19.0,1.0,0.0,,,48,202,Sub-Saharan Africa
3,3,'8,'8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),33,2018.0,19.0,1.0,0.0,,,33,419,Latin America and the Caribbean
4,4,'8,'8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),45,2018.0,19.0,1.0,0.0,,,45,513,Europe and Northern America
5,5,'8,'8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),12,2018.0,19.0,1.0,0.0,,,12,543,Oceania (excluding Australia and New Zealand)
6,6,'8,'8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),24,2018.0,19.0,1.0,0.0,,,24,747,Northern Africa and Western Asia
7,7,'8,'8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),16,2018.0,19.0,1.0,0.0,,,16,753,Eastern and South-Eastern Asia
0,0,'8,'8.2,8.2.1,SL_EMP_PCAP,Annual growth rate of real GDP per employed person (%),179,2019.0,20.0,1.0,0.0,,,194,1,World
0,0,'8,'8.2,8.2.1,SL_EMP_PCAP,Annual growth rate of real GDP per employed person (%),2,2019.0,20.0,1.0,0.0,,,2,53,Australia and New Zealand
1,1,'8,'8.2,8.2.1,SL_EMP_PCAP,Annual growth rate of real GDP per employed person (%),14,2019.0,20.0,1.0,0.0,,,14,62,Central and Southern Asia
2,2,'8,'8.2,8.2.1,SL_EMP_PCAP,Annual growth rate of real GDP per employed person (%),47,2019.0,20.0,1.0,0.0,,,48,202,Sub-Saharan Africa
3,3,'8,'8.2,8.2.1,SL_EMP_PCAP,Annual growth rate of real GDP per employed person (%),29,2019.0,20.0,1.0,0.0,,,33,419,Latin America and the Caribbean
4,4,'8,'8.2,8.2.1,SL_EMP_PCAP,Annual growth rate of real GDP per employed person (%),41,2019.0,20.0,1.0,0.0,,,45,513,Europe and Northern America
5,5,'8,'8.2,8.2.1,SL_EMP_PCAP,Annual growth rate of real GDP per employed person (%),6,2019.0,20.0,1.0,0.0,,,12,543,Oceania (excluding Australia and New Zealand)
6,6,'8,'8.2,8.2.1,SL_EMP_PCAP,Annual growth rate of real GDP per employed person (%),24,2019.0,20.0,1.0,0.0,,,24,747,Northern Africa and Western Asia
7,7,'8,'8.2,8.2.1,SL_EMP_PCAP,Annual growth rate of real GDP per employed person (%),16,2019.0,20.0,1.0,0.0,,,16,753,Eastern and South-Eastern Asia
0,0,'8,'8.3,8.3.1,SL_ISV_IFRM,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) (%)",69,2017.0,3.0,9.0,2.0,3.0,1.0,194,1,World
0,0,'8,'8.3,8.3.1,SL_ISV_IFRM,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) (%)",0,,,,,,,2,53,Australia and New Zealand
1,1,'8,'8.3,8.3.1,SL_ISV_IFRM,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) (%)",6,2017.0,3.0,9.0,2.0,3.0,1.0,14,62,Central and Southern Asia
2,2,'8,'8.3,8.3.1,SL_ISV_IFRM,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) (%)",26,2014.5,1.0,9.0,2.0,3.0,1.0,48,202,Sub-Saharan Africa
3,3,'8,'8.3,8.3.1,SL_ISV_IFRM,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) (%)",19,2017.0,9.0,9.0,2.0,3.0,1.0,33,419,Latin America and the Caribbean
4,4,'8,'8.3,8.3.1,SL_ISV_IFRM,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) (%)",3,2018.0,11.0,9.0,2.0,3.0,1.0,45,513,Europe and Northern America
5,5,'8,'8.3,8.3.1,SL_ISV_IFRM,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) (%)",1,2017.0,2.0,9.0,2.0,3.0,1.0,12,543,Oceania (excluding Australia and New Zealand)
6,6,'8,'8.3,8.3.1,SL_ISV_IFRM,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) (%)",5,2017.0,9.0,9.0,2.0,3.0,1.0,24,747,Northern Africa and Western Asia
7,7,'8,'8.3,8.3.1,SL_ISV_IFRM,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) (%)",9,2018.0,3.0,9.0,2.0,3.0,1.0,16,753,Eastern and South-Eastern Asia
0,0,'8,'8.4,8.4.1,EN_MAT_FTPRPG,"Material footprint per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollar)",0,,,,,,,194,1,World
0,0,'8,'8.4,8.4.1,EN_MAT_FTPRPG,"Material footprint per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollar)",0,,,,,,,2,53,Australia and New Zealand
1,1,'8,'8.4,8.4.1,EN_MAT_FTPRPG,"Material footprint per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollar)",0,,,,,,,14,62,Central and Southern Asia
2,2,'8,'8.4,8.4.1,EN_MAT_FTPRPG,"Material footprint per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollar)",0,,,,,,,48,202,Sub-Saharan Africa
3,3,'8,'8.4,8.4.1,EN_MAT_FTPRPG,"Material footprint per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollar)",0,,,,,,,33,419,Latin America and the Caribbean
4,4,'8,'8.4,8.4.1,EN_MAT_FTPRPG,"Material footprint per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollar)",0,,,,,,,45,513,Europe and Northern America
5,5,'8,'8.4,8.4.1,EN_MAT_FTPRPG,"Material footprint per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollar)",0,,,,,,,12,543,Oceania (excluding Australia and New Zealand)
6,6,'8,'8.4,8.4.1,EN_MAT_FTPRPG,"Material footprint per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollar)",0,,,,,,,24,747,Northern Africa and Western Asia
7,7,'8,'8.4,8.4.1,EN_MAT_FTPRPG,"Material footprint per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollar)",0,,,,,,,16,753,Eastern and South-Eastern Asia
0,0,'8,'8.4,8.4.1,EN_MAT_FTPRPC,"Material footprint per capita, by type of raw material (tonnes)",0,,,,,,,194,1,World
0,0,'8,'8.4,8.4.1,EN_MAT_FTPRPC,"Material footprint per capita, by type of raw material (tonnes)",0,,,,,,,2,53,Australia and New Zealand
1,1,'8,'8.4,8.4.1,EN_MAT_FTPRPC,"Material footprint per capita, by type of raw material (tonnes)",0,,,,,,,14,62,Central and Southern Asia
2,2,'8,'8.4,8.4.1,EN_MAT_FTPRPC,"Material footprint per capita, by type of raw material (tonnes)",0,,,,,,,48,202,Sub-Saharan Africa
3,3,'8,'8.4,8.4.1,EN_MAT_FTPRPC,"Material footprint per capita, by type of raw material (tonnes)",0,,,,,,,33,419,Latin America and the Caribbean
4,4,'8,'8.4,8.4.1,EN_MAT_FTPRPC,"Material footprint per capita, by type of raw material (tonnes)",0,,,,,,,45,513,Europe and Northern America
5,5,'8,'8.4,8.4.1,EN_MAT_FTPRPC,"Material footprint per capita, by type of raw material (tonnes)",0,,,,,,,12,543,Oceania (excluding Australia and New Zealand)
6,6,'8,'8.4,8.4.1,EN_MAT_FTPRPC,"Material footprint per capita, by type of raw material (tonnes)",0,,,,,,,24,747,Northern Africa and Western Asia
7,7,'8,'8.4,8.4.1,EN_MAT_FTPRPC,"Material footprint per capita, by type of raw material (tonnes)",0,,,,,,,16,753,Eastern and South-Eastern Asia
0,0,'8,'8.4,8.4.1,EN_MAT_FTPRTN,"Material footprint, by type of raw material (tonnes)",0,,,,,,,194,1,World
0,0,'8,'8.4,8.4.1,EN_MAT_FTPRTN,"Material footprint, by type of raw material (tonnes)",0,,,,,,,2,53,Australia and New Zealand
1,1,'8,'8.4,8.4.1,EN_MAT_FTPRTN,"Material footprint, by type of raw material (tonnes)",0,,,,,,,14,62,Central and Southern Asia
2,2,'8,'8.4,8.4.1,EN_MAT_FTPRTN,"Material footprint, by type of raw material (tonnes)",0,,,,,,,48,202,Sub-Saharan Africa
3,3,'8,'8.4,8.4.1,EN_MAT_FTPRTN,"Material footprint, by type of raw material (tonnes)",0,,,,,,,33,419,Latin America and the Caribbean
4,4,'8,'8.4,8.4.1,EN_MAT_FTPRTN,"Material footprint, by type of raw material (tonnes)",0,,,,,,,45,513,Europe and Northern America
5,5,'8,'8.4,8.4.1,EN_MAT_FTPRTN,"Material footprint, by type of raw material (tonnes)",0,,,,,,,12,543,Oceania (excluding Australia and New Zealand)
6,6,'8,'8.4,8.4.1,EN_MAT_FTPRTN,"Material footprint, by type of raw material (tonnes)",0,,,,,,,24,747,Northern Africa and Western Asia
7,7,'8,'8.4,8.4.1,EN_MAT_FTPRTN,"Material footprint, by type of raw material (tonnes)",0,,,,,,,16,753,Eastern and South-Eastern Asia
0,0,'8,'8.4,8.4.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",185,2017.0,18.0,16.0,1.0,16.0,0.0,194,1,World
0,0,'8,'8.4,8.4.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",2,2017.0,18.0,17.0,1.0,17.0,0.0,2,53,Australia and New Zealand
1,1,'8,'8.4,8.4.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",14,2017.0,18.0,16.0,1.0,16.0,0.0,14,62,Central and Southern Asia
2,2,'8,'8.4,8.4.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",48,2017.0,18.0,15.0,1.0,15.0,0.0,48,202,Sub-Saharan Africa
3,3,'8,'8.4,8.4.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",30,2017.0,18.0,16.0,1.0,16.0,0.0,33,419,Latin America and the Caribbean
4,4,'8,'8.4,8.4.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",41,2017.0,18.0,17.0,1.0,17.0,0.0,45,513,Europe and Northern America
5,5,'8,'8.4,8.4.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",11,2017.0,18.0,13.0,1.0,13.0,0.0,12,543,Oceania (excluding Australia and New Zealand)
6,6,'8,'8.4,8.4.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",23,2017.0,18.0,17.0,1.0,17.0,0.0,24,747,Northern Africa and Western Asia
7,7,'8,'8.4,8.4.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",16,2017.0,18.0,17.0,1.0,17.0,0.0,16,753,Eastern and South-Eastern Asia
0,0,'8,'8.4,8.4.2,EN_MAT_DOMCMPG,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollars)",185,2016.0,17.0,16.0,1.0,16.0,0.0,194,1,World
0,0,'8,'8.4,8.4.2,EN_MAT_DOMCMPG,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollars)",2,2016.0,17.0,17.0,1.0,17.0,0.0,2,53,Australia and New Zealand
1,1,'8,'8.4,8.4.2,EN_MAT_DOMCMPG,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollars)",14,2016.0,17.0,16.0,1.0,16.0,0.0,14,62,Central and Southern Asia
2,2,'8,'8.4,8.4.2,EN_MAT_DOMCMPG,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollars)",48,2016.0,17.0,15.0,1.0,15.0,0.0,48,202,Sub-Saharan Africa
3,3,'8,'8.4,8.4.2,EN_MAT_DOMCMPG,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollars)",30,2016.0,17.0,16.0,1.0,16.0,0.0,33,419,Latin America and the Caribbean
4,4,'8,'8.4,8.4.2,EN_MAT_DOMCMPG,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollars)",41,2016.0,17.0,17.0,1.0,17.0,0.0,45,513,Europe and Northern America
5,5,'8,'8.4,8.4.2,EN_MAT_DOMCMPG,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollars)",11,2016.0,17.0,13.0,1.0,13.0,0.0,12,543,Oceania (excluding Australia and New Zealand)
6,6,'8,'8.4,8.4.2,EN_MAT_DOMCMPG,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollars)",23,2016.0,17.0,17.0,1.0,17.0,0.0,24,747,Northern Africa and Western Asia
7,7,'8,'8.4,8.4.2,EN_MAT_DOMCMPG,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollars)",16,2016.0,17.0,17.0,1.0,17.0,0.0,16,753,Eastern and South-Eastern Asia
0,0,'8,'8.4,8.4.2,EN_MAT_DOMCMPC,"Domestic material consumption per capita, by type of raw material (tonnes)",185,2017.0,18.0,16.0,1.0,16.0,0.0,194,1,World
0,0,'8,'8.4,8.4.2,EN_MAT_DOMCMPC,"Domestic material consumption per capita, by type of raw material (tonnes)",2,2017.0,18.0,17.0,1.0,17.0,0.0,2,53,Australia and New Zealand
1,1,'8,'8.4,8.4.2,EN_MAT_DOMCMPC,"Domestic material consumption per capita, by type of raw material (tonnes)",14,2017.0,18.0,16.0,1.0,16.0,0.0,14,62,Central and Southern Asia
2,2,'8,'8.4,8.4.2,EN_MAT_DOMCMPC,"Domestic material consumption per capita, by type of raw material (tonnes)",48,2017.0,18.0,15.0,1.0,15.0,0.0,48,202,Sub-Saharan Africa
3,3,'8,'8.4,8.4.2,EN_MAT_DOMCMPC,"Domestic material consumption per capita, by type of raw material (tonnes)",30,2017.0,18.0,16.0,1.0,16.0,0.0,33,419,Latin America and the Caribbean
4,4,'8,'8.4,8.4.2,EN_MAT_DOMCMPC,"Domestic material consumption per capita, by type of raw material (tonnes)",41,2017.0,18.0,17.0,1.0,17.0,0.0,45,513,Europe and Northern America
5,5,'8,'8.4,8.4.2,EN_MAT_DOMCMPC,"Domestic material consumption per capita, by type of raw material (tonnes)",11,2017.0,18.0,13.0,1.0,13.0,0.0,12,543,Oceania (excluding Australia and New Zealand)
6,6,'8,'8.4,8.4.2,EN_MAT_DOMCMPC,"Domestic material consumption per capita, by type of raw material (tonnes)",23,2017.0,18.0,17.0,1.0,17.0,0.0,24,747,Northern Africa and Western Asia
7,7,'8,'8.4,8.4.2,EN_MAT_DOMCMPC,"Domestic material consumption per capita, by type of raw material (tonnes)",16,2017.0,18.0,17.0,1.0,17.0,0.0,16,753,Eastern and South-Eastern Asia
0,0,'8,'8.5,8.5.1,SL_EMP_AEARN,Average hourly earnings of managers (ISCO-08) (local currency),64,2014.0,2.0,30.0,2.0,5.477225575051661,0.984375,194,1,World
0,0,'8,'8.5,8.5.1,SL_EMP_AEARN,Average hourly earnings of managers (ISCO-08) (local currency),0,,,,,,,2,53,Australia and New Zealand
1,1,'8,'8.5,8.5.1,SL_EMP_AEARN,Average hourly earnings of managers (ISCO-08) (local currency),1,2018.0,3.0,36.0,2.0,6.0,1.0,14,62,Central and Southern Asia
2,2,'8,'8.5,8.5.1,SL_EMP_AEARN,Average hourly earnings of managers (ISCO-08) (local currency),0,,,,,,,48,202,Sub-Saharan Africa
3,3,'8,'8.5,8.5.1,SL_EMP_AEARN,Average hourly earnings of managers (ISCO-08) (local currency),21,2014.0,8.0,3.0,2.0,1.7320508075688772,1.0,33,419,Latin America and the Caribbean
4,4,'8,'8.5,8.5.1,SL_EMP_AEARN,Average hourly earnings of managers (ISCO-08) (local currency),34,2014.0,2.0,45.0,2.0,6.674234614174767,0.9705882352941176,45,513,Europe and Northern America
5,5,'8,'8.5,8.5.1,SL_EMP_AEARN,Average hourly earnings of managers (ISCO-08) (local currency),0,,,,,,,12,543,Oceania (excluding Australia and New Zealand)
6,6,'8,'8.5,8.5.1,SL_EMP_AEARN,Average hourly earnings of managers (ISCO-08) (local currency),3,2014.0,2.0,33.0,2.0,5.744562646538029,1.0,24,747,Northern Africa and Western Asia
7,7,'8,'8.5,8.5.1,SL_EMP_AEARN,Average hourly earnings of managers (ISCO-08) (local currency),5,2017.0,2.0,30.0,2.0,5.477225575051661,1.0,16,753,Eastern and South-Eastern Asia
0,0,'8,'8.5,8.5.2,SL_TLF_UEM,"Unemployment rate, by sex and age (%)",180,2017.0,10.0,9.0,2.0,3.0,0.9833333333333333,194,1,World
0,0,'8,'8.5,8.5.2,SL_TLF_UEM,"Unemployment rate, by sex and age (%)",2,2018.0,19.0,9.0,2.0,3.0,1.0,2,53,Australia and New Zealand
1,1,'8,'8.5,8.5.2,SL_TLF_UEM,"Unemployment rate, by sex and age (%)",13,2017.0,10.0,9.0,2.0,3.0,1.0,14,62,Central and Southern Asia
2,2,'8,'8.5,8.5.2,SL_TLF_UEM,"Unemployment rate, by sex and age (%)",41,2014.0,2.0,9.0,2.0,3.0,1.0,48,202,Sub-Saharan Africa
3,3,'8,'8.5,8.5.2,SL_TLF_UEM,"Unemployment rate, by sex and age (%)",31,2017.0,12.0,9.0,2.0,3.0,0.967741935483871,33,419,Latin America and the Caribbean
4,4,'8,'8.5,8.5.2,SL_TLF_UEM,"Unemployment rate, by sex and age (%)",43,2018.0,19.0,9.0,2.0,3.0,1.0,45,513,Europe and Northern America
5,5,'8,'8.5,8.5.2,SL_TLF_UEM,"Unemployment rate, by sex and age (%)",12,2013.5,1.0,9.0,2.0,3.0,0.8333333333333334,12,543,Oceania (excluding Australia and New Zealand)
6,6,'8,'8.5,8.5.2,SL_TLF_UEM,"Unemployment rate, by sex and age (%)",24,2017.0,14.0,9.0,2.0,3.0,1.0,24,747,Northern Africa and Western Asia
7,7,'8,'8.5,8.5.2,SL_TLF_UEM,"Unemployment rate, by sex and age (%)",14,2018.0,15.0,9.0,2.0,3.0,1.0,16,753,Eastern and South-Eastern Asia
0,0,'8,'8.5,8.5.2,SL_TLF_UEMDIS,"Unemployment rate, by sex and disability (%)",59,2015.0,1.0,9.0,2.0,3.0,0.9491525423728814,194,1,World
0,0,'8,'8.5,8.5.2,SL_TLF_UEMDIS,"Unemployment rate, by sex and disability (%)",1,2018.0,2.0,9.0,2.0,3.0,1.0,2,53,Australia and New Zealand
1,1,'8,'8.5,8.5.2,SL_TLF_UEMDIS,"Unemployment rate, by sex and disability (%)",0,,,,,,,14,62,Central and Southern Asia
2,2,'8,'8.5,8.5.2,SL_TLF_UEMDIS,"Unemployment rate, by sex and disability (%)",14,2014.5,1.0,9.0,2.0,3.0,0.9285714285714286,48,202,Sub-Saharan Africa
3,3,'8,'8.5,8.5.2,SL_TLF_UEMDIS,"Unemployment rate, by sex and disability (%)",3,2018.0,6.0,9.0,2.0,3.0,1.0,33,419,Latin America and the Caribbean
4,4,'8,'8.5,8.5.2,SL_TLF_UEMDIS,"Unemployment rate, by sex and disability (%)",29,2012.0,1.0,9.0,2.0,3.0,1.0,45,513,Europe and Northern America
5,5,'8,'8.5,8.5.2,SL_TLF_UEMDIS,"Unemployment rate, by sex and disability (%)",2,2014.0,1.0,9.0,2.0,3.0,1.0,12,543,Oceania (excluding Australia and New Zealand)
6,6,'8,'8.5,8.5.2,SL_TLF_UEMDIS,"Unemployment rate, by sex and disability (%)",5,2017.0,2.0,9.0,2.0,3.0,1.0,24,747,Northern Africa and Western Asia
7,7,'8,'8.5,8.5.2,SL_TLF_UEMDIS,"Unemployment rate, by sex and disability (%)",5,2016.0,1.0,8.0,2.0,2.8284271247461903,0.6,16,753,Eastern and South-Eastern Asia
0,0,'8,'8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age (%)",149,2017.0,7.0,3.0,2.0,1.7320508075688772,0.9932885906040269,194,1,World
0,0,'8,'8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age (%)",2,2017.5,11.5,4.5,2.0,2.0907702751760278,1.0,2,53,Australia and New Zealand
1,1,'8,'8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age (%)",11,2017.0,6.0,3.0,2.0,1.7320508075688772,0.9090909090909091,14,62,Central and Southern Asia
2,2,'8,'8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age (%)",34,2015.0,2.0,3.0,2.0,1.7320508075688772,1.0,48,202,Sub-Saharan Africa
3,3,'8,'8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age (%)",22,2017.5,11.5,3.0,2.0,1.7320508075688772,1.0,33,419,Latin America and the Caribbean
4,4,'8,'8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age (%)",41,2018.0,16.0,3.0,2.0,1.7320508075688772,1.0,45,513,Europe and Northern America
5,5,'8,'8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age (%)",10,2014.0,1.0,3.0,2.0,1.7320508075688772,1.0,12,543,Oceania (excluding Australia and New Zealand)
6,6,'8,'8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age (%)",16,2017.0,6.5,3.0,2.0,1.7320508075688772,1.0,24,747,Northern Africa and Western Asia
7,7,'8,'8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age (%)",13,2018.0,9.0,3.0,2.0,1.7320508075688772,1.0,16,753,Eastern and South-Eastern Asia
0,0,'8,'8.7,8.7.1,SL_TLF_CHLDEC,"Proportion of children engaged in economic activity and household chores, by sex and age (%)",83,2014.0,1.0,3.0,2.0,1.7320508075688772,1.0,194,1,World
0,0,'8,'8.7,8.7.1,SL_TLF_CHLDEC,"Proportion of children engaged in economic activity and household chores, by sex and age (%)",0,,,,,,,2,53,Australia and New Zealand
1,1,'8,'8.7,8.7.1,SL_TLF_CHLDEC,"Proportion of children engaged in economic activity and household chores, by sex and age (%)",6,2014.5,1.0,3.0,2.0,1.7320508075688772,1.0,14,62,Central and Southern Asia
2,2,'8,'8.7,8.7.1,SL_TLF_CHLDEC,"Proportion of children engaged in economic activity and household chores, by sex and age (%)",35,2014.0,1.0,3.0,2.0,1.7320508075688772,1.0,48,202,Sub-Saharan Africa
3,3,'8,'8.7,8.7.1,SL_TLF_CHLDEC,"Proportion of children engaged in economic activity and household chores, by sex and age (%)",19,2014.0,1.0,3.0,2.0,1.7320508075688772,1.0,33,419,Latin America and the Caribbean
4,4,'8,'8.7,8.7.1,SL_TLF_CHLDEC,"Proportion of children engaged in economic activity and household chores, by sex and age (%)",6,2012.0,1.0,3.0,2.0,1.7320508075688772,1.0,45,513,Europe and Northern America
5,5,'8,'8.7,8.7.1,SL_TLF_CHLDEC,"Proportion of children engaged in economic activity and household chores, by sex and age (%)",2,2014.0,1.0,3.0,2.0,1.7320508075688772,1.0,12,543,Oceania (excluding Australia and New Zealand)
6,6,'8,'8.7,8.7.1,SL_TLF_CHLDEC,"Proportion of children engaged in economic activity and household chores, by sex and age (%)",9,2014.0,1.0,3.0,2.0,1.7320508075688772,1.0,24,747,Northern Africa and Western Asia
7,7,'8,'8.7,8.7.1,SL_TLF_CHLDEC,"Proportion of children engaged in economic activity and household chores, by sex and age (%)",6,2016.0,1.0,3.0,2.0,1.7320508075688772,1.0,16,753,Eastern and South-Eastern Asia
0,0,'8,'8.7,8.7.1,SL_TLF_CHLDEA,"Proportion of children engaged in economic activity, by sex and age  (%)",91,2014.0,1.0,3.0,2.0,1.7320508075688772,1.0,194,1,World
0,0,'8,'8.7,8.7.1,SL_TLF_CHLDEA,"Proportion of children engaged in economic activity, by sex and age  (%)",0,,,,,,,2,53,Australia and New Zealand
1,1,'8,'8.7,8.7.1,SL_TLF_CHLDEA,"Proportion of children engaged in economic activity, by sex and age  (%)",8,2013.5,1.0,3.0,2.0,1.7320508075688772,1.0,14,62,Central and Southern Asia
2,2,'8,'8.7,8.7.1,SL_TLF_CHLDEA,"Proportion of children engaged in economic activity, by sex and age  (%)",35,2014.0,1.0,3.0,2.0,1.7320508075688772,1.0,48,202,Sub-Saharan Africa
3,3,'8,'8.7,8.7.1,SL_TLF_CHLDEA,"Proportion of children engaged in economic activity, by sex and age  (%)",24,2014.0,1.0,3.0,2.0,1.7320508075688772,1.0,33,419,Latin America and the Caribbean
4,4,'8,'8.7,8.7.1,SL_TLF_CHLDEA,"Proportion of children engaged in economic activity, by sex and age  (%)",6,2012.0,1.0,3.0,2.0,1.7320508075688772,1.0,45,513,Europe and Northern America
5,5,'8,'8.7,8.7.1,SL_TLF_CHLDEA,"Proportion of children engaged in economic activity, by sex and age  (%)",2,2014.0,1.0,3.0,2.0,1.7320508075688772,1.0,12,543,Oceania (excluding Australia and New Zealand)
6,6,'8,'8.7,8.7.1,SL_TLF_CHLDEA,"Proportion of children engaged in economic activity, by sex and age  (%)",9,2014.0,1.0,3.0,2.0,1.7320508075688772,1.0,24,747,Northern Africa and Western Asia
7,7,'8,'8.7,8.7.1,SL_TLF_CHLDEA,"Proportion of children engaged in economic activity, by sex and age  (%)",7,2015.0,1.0,3.0,2.0,1.7320508075688772,1.0,16,753,Eastern and South-Eastern Asia
0,0,'8,'8.8,8.8.1,SL_EMP_FTLINJUR,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",86,2015.0,12.0,3.0,2.0,1.7320508075688772,0.7093023255813954,194,1,World
0,0,'8,'8.8,8.8.1,SL_EMP_FTLINJUR,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",2,2016.0,9.5,3.0,2.0,1.7320508075688772,1.0,2,53,Australia and New Zealand
